12429;;;3701056802019;PURESSENTIEL SAPIN NOEL HE CEDRE+CERAMIQUE;;13,90;13,90;20,0;;;;0;1;1
12430;;;3701056802026;PURESSENTIEL MON COFFRET 4 SAISONS HE;;29,90;29,90;20,0;;;;0;1;1
7988;;;;MASQUE BARRIERE DJO BLANC ENFANT;;2,95;2,95;20,0;;;;18;1;1
3758;;;7640131971683;EDEL WHITE BAD SONIC GENERATION 12 BACTERIO;;79,90;79,90;20,0;;;;1;1;1
13514;;;3770017244021;MASQUE HT CHIR ENFANT UNITAIRE;;,16;,16;5,5;;;;2210;1;1
6277;;6211537;;REHAUSSE WC CONTACT+ 500200MM;;44,30;44,30;20,0;;;;0;1;1
13784;;9001515;3701158201765;GEL HYDRO-ALCOOLIQUE ALGOVITAL BIDON 5L;;66,40;66,40;20,0;;;;0;1;1
2172;;9001573;;LOCATION ELECTROSTIMULATEUR UROSTIM 2 / semaine;;11,74;11,74;20,0;;;;0;1;1
8660;;9001490;;MASQUE TISSU EVOLON UNS1;;4,20;4,20;5,5;;;;1;1;1
14478;;;7640131978354;EDEL+WHITE PICK STICS SMALL;;3,90;3,90;20,0;;;;1;1;1
4742;;;3578835502374;ARKOFLUIDE JAMB LEG BIO 20AMP+10OFFERTES;;17,90;17,90;20,0;;;;0;1;1
5605;;9001366;;ALCOOL MODIFIE 1 L;;11,80;11,80;2,1;;;;0;1;1
3728;;;3584410010486;DOCTEUR VALNET HLE ESS BIO PATCHOULI 10ML;;9,95;9,95;20,0;;;;0;1;1
1979;;9001202;;TIRE LAIT FORFAIT DE MISE A DISPOSITION;;30,00;30,00;20,0;;;;0;1;1
1184;;9001219;;TIRE LAIT LOCATION / SEMAINE;;7,50;7,50;20,0;;;;0;1;1
12123;;;3760200510095;VISIOCLEAN PINCE NETT LUNETTES;;5,95;5,95;20,0;;;;14;1;1
8657;;6023677;;SUCET MAM 0-2MOIS SIL LOT 2;;3,95;3,95;20,0;;;;12;1;1
19574;3401098461297;9846129;;BANDAGE IMMO EPAULE DOMY T3;;27,24;27,24;20,0;;;;0;1;1
2953;;;3056562601336;DOUDOU ATTACHE SUCETTE SOPHIE LA GIRAFE;;12,95;12,95;20,0;;;;0;1;1
13513;;;3770009632072;AROMACOMTOIS SAVON SAPIN BLANC 140G;;6,15;6,15;20,0;;;;6;1;1
14879;;;3770009632157;AROMACOMTOIS PARFUM D'AMBIANCE SAPIN BLANC 50ML;;7,45;7,45;20,0;;;;5;1;1
15818;;;3770009632232;AROMACOMTOIS GOMMES DU JURA BOITE METAL 70G;;6,95;6,95;20,0;;;;4;1;1
4599;3401098461358;9846135;;BANDAGE IMMOB EPAULE DOMY T4;;34,24;34,24;20,0;;;;0;1;1
7983;;2450151;;COUSSIN HEMOSTATIQUE 5516NMM PHARMAT;;22,40;22,40;20,0;;;;0;1;1
16611;;;3770009632225;AROMACOMTOIS GOMMES DU JURA 45G;;4,00;4,00;20,0;;;;8;1;1
13851;;;3770009632003;AROMACOMTOIS HUILE ESS SAPIN BLANC DU JURA;;10,95;10,95;5,5;;;;6;1;1
6963;;9000450;;SONALTO ASSISTANT D'ECOUTE B/1 RECHARGEABLE;;399,00;399,00;20,0;;;;0;1;1
8292;;6020585;;SER BD PLAS 10ML H810 luer lock;;,60;,60;20,0;;;;0;1;1
8653;3401060138233;6013823;;CHAISE DOUCHE OBANA 540381 MM ROUL LARG ASS44;;102,62;102,62;20,0;;;;0;1;1
8291;;2900251;;GANT LATEX 7-8 BT100 POUDRE TAILLE M;;10,20;10,20;5,5;;;;0;1;1
3571;3401529002686;2900268;;GANT LATEX 8-9 BT100 POUDRE TAILLE L;;9,30;9,30;5,5;;;;1;1;1
8655;3401529031204;2903120;;CHAISE DOUCHE PICO 1525887 MM;;149,22;149,22;20,0;;;;0;1;1
6268;;6018539;;ATTELLE NEO SOFT POIG D TU;;48,54;48,54;5,5;;;;1;1;1
14197;;1983004;3760219830047;L'APOTHICAIRE LE SAGE SPRAY ASSAIN 100ML;;18,90;18,90;20,0;;;;1;1;1
17672;3401021357734;2135773;;COUSS ALOVA GALB VCAG 3841 MM >6 38X41 30A90KG;;69,00;69,00;20,0;;;;0;1;1
7980;;9620520;;FAUTEUIL GR CLUBOCEAN330023MM;;102,62;102,62;20,0;;;;0;1;1
5601;;2451171;;DEAMBULATEUR 2 ROULETTES + SIEGE ACHAT;;55,81;55,81;10,0;;;;0;1;1
